101402108	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	5	0
101402109	01	014	02	01	2006	2	1	S	06	3	1	1	2	1	1	0	5	0
101402110	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	5	0
101402111	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	3	5	0
101402112	01	014	02	01	2006	2	1	S	09	1	1	1	2	1	1	0	3	0
101402114	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	5	0
101402115	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	3	3	0
101402116	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	3	0
101402117	01	014	02	01	2006	2	1	S	09	1	1	1	2	1	1	3	5	0
101402118	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	3	5	0
101402119	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	3	0
101402120	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	3	1
101402121	01	014	02	01	2006	2	1	S	08	1	1	1	2	5	2	0	1	0
101402122	01	014	02	01	2006	2	3	S	04	1	1	1	2	1	1	0	5	0
101402124	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	5	0
101402125	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	2	3	0
101402129	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402130	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	5	0
101402131	01	014	02	01	2006	2	1	S	04	1	1	1	2	1	1	0	5	0
101402132	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	5	0
101402133	01	014	02	01	2006	2	1	S	09	1	1	1	2	4	2	0	5	0
101402134	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	3	0
101402135	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	5	0
101402136	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	2	1	0
101402137	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	2	4	5	3
101402138	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	3	3
101402139	01	014	02	01	2006	2	1	S	05	1	3	1	2	1	1	3	5	0
101402140	01	014	02	01	2006	2	1	S	03	1	1	1	2	1	1	0	5	0
101402141	01	014	02	01	2006	2	1	S	04	1	1	1	2	1	1	0	5	0
101402142	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402143	01	014	02	01	2006	2	1	S	02	1	1	1	2	1	1	2	5	0
101402144	01	014	02	01	2006	2	1	S	03	1	1	1	2	1	1	0	5	0
101402145	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402146	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	3	0
101402147	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	3	3	2
101402148	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	5	0
101402149	01	014	02	01	2006	2	1	S	08	1	3	1	2	1	2	4	2	0
101402150	01	014	02	01	2006	2	1	S	09	1	1	1	2	1	1	3	5	0
101402151	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	5	0
101402152	01	014	02	01	2006	2	1	S	03	1	1	1	2	1	1	0	3	0
101402153	01	014	02	01	2006	2	1	S	01	1	3	3	2	1	1	0	5	0
101402154	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	1	0
101402155	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402157	01	014	02	01	2006	2	1	S	10	1	1	1	2	5	1	0	1	1
101402158	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402159	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	5	0
101402160	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	3	3	0
101402161	01	014	02	01	2006	2	1	S	08	1	3	1	2	1	1	2	5	0
101402162	01	014	02	01	2006	2	1	S	08	1	1	1	2	1	1	0	5	0
101402163	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	2	5	0
101402164	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	4	3	2
101402165	01	014	02	01	2006	2	1	S	04	1	1	1	2	5	2	2	5	2
101402166	01	014	02	01	2006	2	1	S	06	1	1	1	2	5	2	4	3	0
101402167	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	2	3	5	0
101402168	01	014	02	01	2006	2	1	S	06	1	1	1	1	1	1	0	5	0
101402169	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	2	5	0
101402171	01	014	02	01	2006	2	1	S	04	1	1	1	2	1	1	0	5	0
101402172	01	014	02	01	2006	2	1	S	07	1	1	1	2	1	1	0	2	0
101402173	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	3	0
101402174	01	014	02	01	2006	2	1	S	05	1	1	1	2	1	1	0	5	0
101402175	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	1	0	3	0
101402177	01	014	02	01	2006	2	1	S	06	1	1	1	2	1	2	3	5	0
101402178	01	014	02	01	2006	2	1	S	07	1	3	1	2	1	1	0	5	0
101402179	01	014	02	01	2006	2	1	S	10	1	1	1	2	1	2	4	3	4
101402180	01	014	02	01	2006	2	1	S	07	1	1	1	2	5	1	2	5	1
101402181	01	014	02	01	2006	2	1	S	12	1	1	1	2	1	2	0	5	0
